Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	Total Bases	Sequence length	File type	basic_statistics	per_sequence_gc_content	sequence_length_distribution	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
PD_129P_filtered_1	pass	0.0	pass	124.594241791	Sanger / Illumina 1.9	pass	362 Mbp	60-151	Conventional base calls	pass	fail	warn	2891281.0	pass	fail	pass	53.0	96.2776472996	PD_129P_filtered_1.fastq	fail	pass
PD_129P_filtered_2	pass	0.0	pass	124.826854948	Sanger / Illumina 1.9	pass	362.6 Mbp	60-151	Conventional base calls	pass	fail	warn	2891281.0	pass	fail	pass	53.0	96.2681538987	PD_129P_filtered_2.fastq	fail	pass
PD_12P_filtered_1	pass	0.0	pass	124.55075025	Sanger / Illumina 1.9	pass	376.3 Mbp	60-151	Conventional base calls	pass	pass	warn	3006931.0	pass	warn	pass	48.0	98.5073894833	PD_12P_filtered_1.fastq	fail	pass
PD_12P_filtered_2	pass	0.0	pass	124.79821253	Sanger / Illumina 1.9	pass	377.1 Mbp	60-151	Conventional base calls	pass	pass	warn	3006931.0	pass	warn	pass	48.0	98.4897716762	PD_12P_filtered_2.fastq	fail	pass
PD_130S_filtered_1	pass	0.0	pass	133.019576439	Sanger / Illumina 1.9	pass	490.8 Mbp	60-151	Conventional base calls	pass	pass	warn	3671301.0	pass	warn	pass	45.0	97.6479047013	PD_130S_filtered_1.fastq	fail	pass
PD_130S_filtered_2	pass	0.0	pass	133.085730099	Sanger / Illumina 1.9	pass	491 Mbp	60-151	Conventional base calls	pass	pass	warn	3671301.0	pass	warn	pass	45.0	97.6957564159	PD_130S_filtered_2.fastq	fail	pass
PD_131P_filtered_1	pass	0.0	pass	123.813450998	Sanger / Illumina 1.9	pass	494.5 Mbp	60-151	Conventional base calls	pass	pass	warn	3974248.0	pass	warn	pass	46.0	94.3055160794	PD_131P_filtered_1.fastq	fail	pass
PD_131P_filtered_2	pass	0.0	pass	124.105481087	Sanger / Illumina 1.9	pass	495.7 Mbp	60-151	Conventional base calls	pass	pass	warn	3974248.0	pass	warn	pass	47.0	94.3683199183	PD_131P_filtered_2.fastq	fail	pass
PD_134S_filtered_1	pass	0.0	pass	129.354554464	Sanger / Illumina 1.9	pass	793.9 Mbp	60-151	Conventional base calls	pass	pass	warn	6107403.0	pass	warn	pass	46.0	97.128283451	PD_134S_filtered_1.fastq	fail	pass
PD_134S_filtered_2	pass	0.0	pass	129.554908035	Sanger / Illumina 1.9	pass	795.2 Mbp	60-151	Conventional base calls	pass	pass	warn	6107403.0	pass	warn	pass	46.0	97.1243649931	PD_134S_filtered_2.fastq	fail	pass
PD_137P_filtered_1	pass	0.0	pass	132.962912411	Sanger / Illumina 1.9	pass	637.5 Mbp	60-151	Conventional base calls	pass	pass	warn	4771057.0	pass	warn	pass	45.0	98.3568084332	PD_137P_filtered_1.fastq	fail	pass
PD_137P_filtered_2	pass	0.0	pass	133.121714958	Sanger / Illumina 1.9	pass	638.3 Mbp	60-151	Conventional base calls	pass	pass	warn	4771057.0	pass	warn	pass	45.0	98.3198795721	PD_137P_filtered_2.fastq	fail	pass
PD_138S_filtered_1	pass	0.0	pass	125.384164014	Sanger / Illumina 1.9	pass	403.4 Mbp	60-151	Conventional base calls	pass	pass	warn	3201872.0	pass	warn	pass	44.0	96.4338999438	PD_138S_filtered_1.fastq	fail	pass
PD_138S_filtered_2	pass	0.0	pass	125.585585557	Sanger / Illumina 1.9	pass	404.1 Mbp	60-151	Conventional base calls	pass	pass	warn	3201872.0	pass	warn	pass	44.0	96.4316472232	PD_138S_filtered_2.fastq	fail	pass
PD_13P_filtered_1	pass	0.0	pass	127.243891093	Sanger / Illumina 1.9	pass	511.8 Mbp	60-151	Conventional base calls	pass	warn	warn	4002762.0	pass	warn	pass	47.0	96.369278388	PD_13P_filtered_1.fastq	fail	pass
PD_13P_filtered_2	pass	0.0	pass	127.406177534	Sanger / Illumina 1.9	pass	512.5 Mbp	60-151	Conventional base calls	pass	warn	warn	4002762.0	pass	warn	pass	48.0	96.3623163166	PD_13P_filtered_2.fastq	fail	pass
PD_140S_filtered_1	pass	0.0	pass	132.236664274	Sanger / Illumina 1.9	pass	851.9 Mbp	60-151	Conventional base calls	pass	pass	warn	6410431.0	pass	warn	pass	47.0	97.5322976652	PD_140S_filtered_1.fastq	fail	pass
PD_140S_filtered_2	pass	0.0	pass	132.432640489	Sanger / Illumina 1.9	pass	853.1 Mbp	60-151	Conventional base calls	pass	pass	warn	6410431.0	pass	warn	pass	47.0	97.555463385	PD_140S_filtered_2.fastq	fail	pass
PD_141P_filtered_1	pass	0.0	pass	133.155595257	Sanger / Illumina 1.9	pass	804.1 Mbp	60-151	Conventional base calls	pass	warn	warn	6009277.0	pass	warn	pass	46.0	93.5414820435	PD_141P_filtered_1.fastq	fail	pass
PD_141P_filtered_2	pass	0.0	pass	133.32732773	Sanger / Illumina 1.9	pass	805.2 Mbp	60-151	Conventional base calls	pass	warn	warn	6009277.0	pass	warn	pass	46.0	93.589475096	PD_141P_filtered_2.fastq	fail	pass
PD_142S_filtered_1	pass	0.0	pass	136.423842635	Sanger / Illumina 1.9	pass	570.5 Mbp	60-151	Conventional base calls	pass	pass	warn	4160832.0	pass	warn	pass	44.0	96.0762743538	PD_142S_filtered_1.fastq	fail	pass
PD_142S_filtered_2	pass	0.0	pass	136.455137338	Sanger / Illumina 1.9	pass	570.6 Mbp	60-151	Conventional base calls	pass	pass	warn	4160832.0	pass	warn	pass	44.0	95.9423026072	PD_142S_filtered_2.fastq	fail	pass
PD_145P_filtered_1	pass	0.0	pass	132.604386884	Sanger / Illumina 1.9	pass	822.9 Mbp	60-151	Conventional base calls	pass	pass	warn	6174952.0	pass	warn	pass	47.0	98.2126445893	PD_145P_filtered_1.fastq	fail	pass
PD_145P_filtered_2	pass	0.0	pass	132.746875765	Sanger / Illumina 1.9	pass	823.7 Mbp	60-151	Conventional base calls	pass	pass	warn	6174952.0	pass	warn	pass	48.0	98.167211223	PD_145P_filtered_2.fastq	fail	pass
PD_146S_filtered_1	pass	0.0	pass	131.404082565	Sanger / Illumina 1.9	pass	528.4 Mbp	60-151	Conventional base calls	pass	warn	warn	4001504.0	pass	warn	pass	47.0	98.1285471761	PD_146S_filtered_1.fastq	fail	pass
PD_146S_filtered_2	pass	0.0	pass	131.527478668	Sanger / Illumina 1.9	pass	528.9 Mbp	60-151	Conventional base calls	pass	warn	warn	4001504.0	pass	warn	pass	47.0	98.1474530671	PD_146S_filtered_2.fastq	fail	pass
PD_147_filtered_1	pass	0.0	pass	135.485674948	Sanger / Illumina 1.9	pass	633.7 Mbp	60-151	Conventional base calls	pass	pass	warn	4654259.0	pass	warn	pass	46.0	98.0138447679	PD_147_filtered_1.fastq	fail	pass
PD_147_filtered_2	pass	0.0	pass	135.551609397	Sanger / Illumina 1.9	pass	634 Mbp	60-151	Conventional base calls	pass	pass	warn	4654259.0	pass	warn	pass	46.0	98.0891965548	PD_147_filtered_2.fastq	fail	pass
PD_148P_filtered_1	pass	0.0	pass	131.74210289	Sanger / Illumina 1.9	pass	745.5 Mbp	60-151	Conventional base calls	pass	warn	warn	5630509.0	pass	warn	pass	47.0	97.236868363	PD_148P_filtered_1.fastq	fail	pass
PD_148P_filtered_2	pass	0.0	pass	131.825579535	Sanger / Illumina 1.9	pass	745.9 Mbp	60-151	Conventional base calls	pass	warn	warn	5630509.0	pass	warn	pass	47.0	97.3733249244	PD_148P_filtered_2.fastq	fail	pass
PD_149S_filtered_1	pass	0.0	pass	132.877394281	Sanger / Illumina 1.9	pass	525.3 Mbp	60-151	Conventional base calls	pass	warn	warn	3934115.0	pass	warn	pass	49.0	98.4525907458	PD_149S_filtered_1.fastq	fail	pass
PD_149S_filtered_2	pass	0.0	pass	132.884697067	Sanger / Illumina 1.9	pass	525.4 Mbp	60-151	Conventional base calls	pass	warn	warn	3934115.0	pass	warn	pass	49.0	98.4839685738	PD_149S_filtered_2.fastq	fail	pass
PD_14P_filtered_1	pass	0.0	pass	124.01270968	Sanger / Illumina 1.9	pass	386.2 Mbp	60-151	Conventional base calls	pass	warn	warn	3099370.0	pass	warn	pass	47.0	98.5224303163	PD_14P_filtered_1.fastq	fail	pass
PD_14P_filtered_2	pass	0.0	pass	124.340231725	Sanger / Illumina 1.9	pass	387.3 Mbp	60-151	Conventional base calls	pass	warn	warn	3099370.0	pass	warn	pass	47.0	98.5108113626	PD_14P_filtered_2.fastq	fail	pass
PD_150P_filtered_1	pass	0.0	pass	129.118938893	Sanger / Illumina 1.9	pass	548.4 Mbp	60-151	Conventional base calls	pass	warn	warn	4226456.0	pass	warn	pass	45.0	97.1664553022	PD_150P_filtered_1.fastq	fail	pass
PD_150P_filtered_2	pass	0.0	pass	129.312470779	Sanger / Illumina 1.9	pass	549.2 Mbp	60-151	Conventional base calls	pass	warn	warn	4226456.0	pass	warn	pass	45.0	97.1436241202	PD_150P_filtered_2.fastq	fail	pass
PD_151S_filtered_1	pass	0.0	pass	127.834648413	Sanger / Illumina 1.9	pass	514 Mbp	60-151	Conventional base calls	pass	warn	warn	4001280.0	pass	warn	pass	46.0	98.1550309273	PD_151S_filtered_1.fastq	fail	pass
PD_151S_filtered_2	pass	0.0	pass	128.092477907	Sanger / Illumina 1.9	pass	515.1 Mbp	60-151	Conventional base calls	pass	warn	warn	4001280.0	pass	warn	pass	46.0	98.1420683731	PD_151S_filtered_2.fastq	fail	pass
PD_152P_filtered_1	pass	0.0	pass	133.854105786	Sanger / Illumina 1.9	pass	514.3 Mbp	60-151	Conventional base calls	pass	warn	warn	3823044.0	pass	warn	pass	49.0	98.3073767118	PD_152P_filtered_1.fastq	fail	pass
PD_152P_filtered_2	pass	0.0	pass	133.839009962	Sanger / Illumina 1.9	pass	514.2 Mbp	60-151	Conventional base calls	pass	warn	warn	3823044.0	pass	warn	pass	49.0	98.3197637105	PD_152P_filtered_2.fastq	fail	pass
PD_153S_filtered_1	pass	0.0	pass	126.587476745	Sanger / Illumina 1.9	pass	697.9 Mbp	60-151	Conventional base calls	pass	pass	warn	5486018.0	pass	warn	pass	50.0	97.3810200608	PD_153S_filtered_1.fastq	fail	pass
PD_153S_filtered_2	pass	0.0	pass	126.900387494	Sanger / Illumina 1.9	pass	699.6 Mbp	60-151	Conventional base calls	pass	pass	warn	5486018.0	pass	warn	pass	50.0	97.3379200605	PD_153S_filtered_2.fastq	fail	pass
PD_156P_filtered_1	pass	0.0	pass	127.264642513	Sanger / Illumina 1.9	pass	460 Mbp	60-151	Conventional base calls	pass	pass	warn	3597026.0	pass	warn	pass	44.0	95.2883435052	PD_156P_filtered_1.fastq	fail	pass
PD_156P_filtered_2	pass	0.0	pass	127.492812118	Sanger / Illumina 1.9	pass	460.8 Mbp	60-151	Conventional base calls	pass	pass	warn	3597026.0	pass	warn	pass	44.0	95.2842457171	PD_156P_filtered_2.fastq	fail	pass
PD_157S_filtered_1	pass	0.0	pass	126.053642993	Sanger / Illumina 1.9	pass	609.9 Mbp	60-151	Conventional base calls	pass	pass	warn	4815093.0	pass	warn	pass	47.0	96.99639293	PD_157S_filtered_1.fastq	fail	pass
PD_157S_filtered_2	pass	0.0	pass	126.352001509	Sanger / Illumina 1.9	pass	611.4 Mbp	60-151	Conventional base calls	pass	pass	warn	4815093.0	pass	warn	pass	47.0	96.9277082732	PD_157S_filtered_2.fastq	fail	pass
PD_158P_filtered_1	pass	0.0	pass	132.325431245	Sanger / Illumina 1.9	pass	717.6 Mbp	60-151	Conventional base calls	pass	warn	warn	5396464.0	pass	warn	pass	45.0	97.277131961	PD_158P_filtered_1.fastq	fail	pass
PD_158P_filtered_2	pass	0.0	pass	132.522588866	Sanger / Illumina 1.9	pass	718.7 Mbp	60-151	Conventional base calls	pass	warn	warn	5396464.0	pass	warn	pass	45.0	97.2258988002	PD_158P_filtered_2.fastq	fail	pass
PD_159S_filtered_1	pass	0.0	pass	131.345053051	Sanger / Illumina 1.9	pass	714.7 Mbp	60-151	Conventional base calls	pass	pass	warn	5414408.0	pass	warn	pass	46.0	97.0474247813	PD_159S_filtered_1.fastq	fail	pass
PD_159S_filtered_2	pass	0.0	pass	131.524536755	Sanger / Illumina 1.9	pass	715.6 Mbp	60-151	Conventional base calls	pass	pass	warn	5414408.0	pass	warn	pass	46.0	96.9807287439	PD_159S_filtered_2.fastq	fail	pass
PD_15P_filtered_1	pass	0.0	pass	124.803043846	Sanger / Illumina 1.9	pass	423.6 Mbp	60-151	Conventional base calls	pass	pass	warn	3377701.0	pass	warn	pass	47.0	98.5876190525	PD_15P_filtered_1.fastq	fail	pass
PD_15P_filtered_2	pass	0.0	pass	125.073327094	Sanger / Illumina 1.9	pass	424.5 Mbp	60-151	Conventional base calls	pass	pass	warn	3377701.0	pass	warn	pass	47.0	98.5966992505	PD_15P_filtered_2.fastq	fail	pass
PD_160P_filtered_1	pass	0.0	pass	128.319750876	Sanger / Illumina 1.9	pass	679.6 Mbp	60-151	Conventional base calls	pass	warn	warn	5269984.0	pass	warn	pass	49.0	96.8305618271	PD_160P_filtered_1.fastq	fail	pass
PD_160P_filtered_2	pass	0.0	pass	128.590925134	Sanger / Illumina 1.9	pass	681 Mbp	60-151	Conventional base calls	pass	pass	warn	5269984.0	pass	warn	pass	49.0	96.8772024817	PD_160P_filtered_2.fastq	fail	pass
PD_161S_filtered_1	pass	0.0	pass	134.994949328	Sanger / Illumina 1.9	pass	8.2 Mbp	60-151	Conventional base calls	pass	warn	warn	60586.0	pass	warn	pass	46.0	98.3312976595	PD_161S_filtered_1.fastq	fail	pass
PD_161S_filtered_2	pass	0.0	pass	134.302082989	Sanger / Illumina 1.9	pass	8.1 Mbp	60-151	Conventional base calls	pass	warn	warn	60586.0	pass	warn	pass	46.0	98.4550886343	PD_161S_filtered_2.fastq	fail	pass
PD_162P_filtered_1	pass	0.0	pass	132.967980784	Sanger / Illumina 1.9	pass	602.9 Mbp	60-151	Conventional base calls	pass	pass	warn	4511978.0	pass	warn	pass	47.0	98.5500650286	PD_162P_filtered_1.fastq	fail	pass
PD_162P_filtered_2	pass	0.0	pass	133.036383156	Sanger / Illumina 1.9	pass	603.2 Mbp	60-151	Conventional base calls	pass	pass	warn	4511978.0	pass	warn	pass	47.0	98.5656707941	PD_162P_filtered_2.fastq	fail	pass
PD_163S_filtered_1	pass	0.0	pass	129.056251656	Sanger / Illumina 1.9	pass	675 Mbp	60-151	Conventional base calls	pass	pass	warn	5203989.0	pass	warn	pass	47.0	98.1857964748	PD_163S_filtered_1.fastq	fail	pass
PD_163S_filtered_2	pass	0.0	pass	129.156731115	Sanger / Illumina 1.9	pass	675.5 Mbp	60-151	Conventional base calls	pass	pass	warn	5203989.0	pass	warn	pass	47.0	98.2430052654	PD_163S_filtered_2.fastq	fail	pass
PD_164P_filtered_1	pass	0.0	pass	130.48665741	Sanger / Illumina 1.9	pass	460.1 Mbp	60-151	Conventional base calls	pass	warn	warn	3508764.0	pass	warn	pass	48.0	98.5360298155	PD_164P_filtered_1.fastq	fail	pass
