clade_name	PD_1P_profile	PD_2P_profile	PD_3P_profile	PD_4P_profile	PD_5P_profile	PD_6P_profile	PD_7P_profile	PD_8P_profile	PD_9P_profile	PD_10P_profile	PD_11P_profile	PD_12P_profile	PD_13P_profile	PD_14P_profile	PD_15P_profile	PD_16P_profile	PD_25P_profile	PD_26P_profile	PD_27P_profile	PD_28P_profile	PD_29P_profile	PD_30P_profile	PD_31P_profile	PD_32P_profile	PD_33P_profile	PD_34P_profile	PD_35P_profile	PD_36P_profile	PD_38P_profile	PD_39P_profile	PD_40P_profile	PD_41P_profile	PD_42P_profile	PD_43P_profile	PD_44P_profile	PD_45P_profile	PD_46P_profile	PD_47P_profile	PD_48P_profile	PD_50P_profile	PD_51P_profile	PD_52P_profile	PD_53P_profile	PD_54P_profile	PD_55P_profile	PD_56P_profile	PD_57P_profile	PD_58P_profile	PD_59P_profile	PD_60P_profile	PD_63P_profile	PD_64P_profile	PD_65P_profile	PD_66P_profile	PD_70P_profile	PD_73P_profile	PD_74P_profile	PD_75P_profile	PD_76P_profile	PD_77P_profile	PD_78P_profile	PD_79S_profile	PD_81P_profile	PD_82P_profile	PD_83P_profile	PD_84P_profile	PD_100P_profile	PD_104P_profile	PD_105P_profile	PD_107P_profile	PD_108S_profile	PD_109S_profile	PD_110S_profile	PD_111P_profile	PD_112S_profile	PD_113P_profile	PD_114P_profile	PD_115S_profile	PD_116P_profile	PD_117_profile	PD_118_profile	PD_119P_profile	PD_120S_profile	PD_121S_profile	PD_122S_profile	PD_123P_profile	PD_126P_profile	PD_127S_profile	PD_128S_profile	PD_129P_profile	PD_130S_profile	PD_131P_profile	PD_134S_profile	PD_137P_profile	PD_138S_profile	PD_140S_profile	PD_141P_profile	PD_142S_profile	PD_145P_profile	PD_146S_profile	PD_147_profile	PD_148P_profile	PD_149S_profile	PD_150P_profile	PD_151S_profile	PD_152P_profile	PD_153S_profile	PD_156P_profile	PD_157S_profile	PD_158P_profile	PD_159S_profile	PD_160P_profile	PD_161S_profile	PD_162P_profile	PD_163S_profile	PD_164P_profile	PD_165S_profile	PD_166_profile	PD_167P_profile	PD_169P_profile	PD_170S_profile	PD_171P_profile	PD_172S_profile	PD_173P_profile	PD_174S_profile	PD_175P_profile	PD_176S_profile	PD_177P_profile	PD_178S_profile	PD_179P_profile	PD_180S_profile	PD_181P_profile	PD_182S_profile	PD_183P_profile	PD_184S_profile	PD_188S_profile	PD_189P_profile	PD_190S_profile	PD_191P_profile	PD_192S_profile	PD_193P_profile	PD_194S_profile	PD_195_profile	PD_196_profile	PD_197_profile	PD_198_profile	PD_199P_profile	PD_200S_profile	PD_203_profile	PD_204_profile	PD_205P_profile	PD_206S_profile	PD_207P_profile	PD_208S_profile	PD_209P_profile	PD_210S_profile	PD_211P_profile	PD_212S_profile	PD_213S_profile	PD_214S_profile	PD_215S_profile	PD_216S_profile	PD_217P_profile	PD_218S_profile	PD_221P_profile	PD_222S_profile	PD_223P_profile	PD_224S_profile	PD_225P_profile	PD_226S_profile	PD_227P_profile	PD_228S_profile	PD_229P_profile	PD_230S_profile	PD_231P_profile	PD_232S_profile
d__Bacteria;p__Bacillota;c__Bacilli;o__MOL361;f__Turicibacteraceae;g__Turicibacter;s__Turicibacter sp017888305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3293	0	0	0	0	0	0	3204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Gemellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3293	0	0	0	0	0	0	3204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3293	0	0	0	0	0	0	3204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella;s__Gemella haemolysans_B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella;s__Gemella sanguinis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacillota_A	1049857	1655788	1649532	1881495	1537110	1478445	2238400	1638762	2143303	1531924	1954604	1753856	1880731	2043047	1640926	2373315	2590718	0	2508643	171261	1545810	1590064	1186943	1960892	2336829	1539470	2637452	0	2499235	1216426	1269693	1204460	1206773	1280017	2081062	2474163	1340129	1374062	1611892	162572	1826621	1455145	1507299	1160587	1135801	4183375	2486328	911250	1329686	2104674	1854867	2226488	1824773	1753621	1560934	810164	1506541	1878340	574396	2003119	1277122	2026246	0	1991988	30323	1931678	1254446	2433072	782911	0	3127211	2528545	1825856	1646366	6263	799002	939216	1743473	3848564	2066542	1938137	1634041	1680354	3124534	2997164	2045408	2272016	3293625	2918788	553937	1528890	1729382	3411139	2703995	1150179	3977041	3594497	2675586	3232688	2124298	2525961	2702011	1973096	1482225	2491728	2048692	2816329	2376184	2281739	3024149	3443806	2064368	19241	2129403	2532949	1384729	2248491	2991988	1133890	1883524	2709412	2578060	2031917	2469398	2088871	1374668	2584409	1746840	3436530	2263710	2378861	2419522	14391	3396250	4208570	2345956	2766983	2665012	0	0	1384426	2132857	1935599	2468238	2686067	2007616	0	2745228	2303308	1584692	736203	2662990	2599450	2062086	3191959	2369640	22601	5412	3045566	2202032	2740149	5752	8602	0	2312007	2635964	2252310	4191351	2920654	2084603	2107271	2754963	2102068	2808178	3186192	1977256
d__Bacteria;p__Bacillota_A;c__Clostridia	1049857	1655788	1649532	1881495	1537110	1478445	2238400	1638762	2143303	1531924	1954604	1753856	1880731	2043047	1640926	2373315	2590718	0	2508643	171261	1545810	1590064	1186943	1960892	2336829	1539470	2637452	0	2499235	1216426	1269693	1204460	1206773	1280017	2081062	2474163	1340129	1374062	1611892	162572	1826621	1455145	1507299	1160587	1135801	4183375	2486328	911250	1329686	2104674	1854867	2226488	1824773	1753621	1560934	810164	1506541	1878340	574396	2003119	1277122	2026246	0	1991988	30323	1931678	1254446	2433072	782911	0	3127211	2528545	1825856	1646366	6263	799002	939216	1743473	3848564	2066542	1938137	1634041	1680354	3124534	2997164	2045408	2272016	3293625	2918788	553937	1528890	1729382	3411139	2703995	1150179	3977041	3594497	2675586	3232688	2124298	2525961	2702011	1973096	1482225	2491728	2048692	2816329	2376184	2281739	3024149	3443806	2064368	19241	2129403	2532949	1384729	2248491	2991988	1133890	1883524	2709412	2578060	2031917	2469398	2088871	1374668	2584409	1746840	3436530	2263710	2378861	2419522	14391	3396250	4208570	2345956	2766983	2665012	0	0	1384426	2132857	1935599	2468238	2686067	2007616	0	2745228	2303308	1584692	736203	2662990	2599450	2062086	3191959	2369640	22601	5412	3045566	2202032	2740149	5752	8602	0	2312007	2635964	2252310	4191351	2920654	2084603	2107271	2754963	2102068	2808178	3186192	1977256
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales	45956	83934	9741	152522	86436	60659	0	11614	37740	305521	100215	18563	20901	45095	0	103888	103658	0	160071	13783	167473	154613	138281	85455	124083	109490	66181	0	7342	225598	20619	88331	84681	53379	81196	88956	182602	33855	66087	0	0	81076	66785	82592	38539	182133	0	128015	95533	290498	22454	164392	236306	17513	21747	17369	35655	39081	0	316064	164731	181347	0	48217	0	536659	174974	19240	152067	0	48408	68284	20209	36980	0	0	0	0	34000	78589	118199	46027	113923	877579	200749	0	491437	215943	224625	20413	12580	0	75495	91204	2080	63224	31965	12567	161939	174771	19441	53606	394400	56299	124828	85649	353994	35036	39412	106234	24456	555089	0	34947	14343	51147	223689	132419	16323	154367	143468	20643	130295	259198	47542	38162	88852	36887	26546	12166	50837	229272	0	28658	51060	46825	116804	127601	0	0	11163	41125	386514	24849	210231	51319	0	157093	378571	109345	0	362312	9724	0	34012	62490	0	0	88609	38028	55746	0	0	0	177019	83147	171422	14534	13753	105094	37168	155048	0	0	13004	30021
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae	25904	66980	9741	135918	47360	56954	0	0	37740	160351	78433	0	14070	45095	0	95523	59589	0	76219	5890	149666	135569	138281	22364	106978	62787	66181	0	7342	175301	16376	39720	79577	50440	64950	75869	138117	6001	43658	0	0	52880	39747	42358	38539	136817	0	81779	48349	115624	13810	130872	119723	14037	12385	17369	26495	35421	0	146867	120054	138389	0	36043	0	387847	84944	19240	136085	0	21998	57947	20209	21384	0	0	0	0	26262	71408	97289	23699	45091	529255	175124	0	301862	146763	204231	10658	12580	0	28491	18657	0	59479	5217	8468	52873	102606	10696	29340	262093	36790	36685	43955	347113	26097	20410	106234	14877	539487	0	22600	14343	47323	79997	124290	0	80646	77674	7912	95500	128037	19355	28516	44927	27844	21460	12166	29563	105852	0	24485	51060	38987	91656	107163	0	0	11163	22495	89702	23171	143188	22397	0	120056	293212	75650	0	362312	6003	0	34012	35878	0	0	20883	38028	55746	0	0	0	86677	48419	135758	14534	13753	100052	26196	106326	0	0	13004	22535
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__Alectryocaccomicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8870	11356	0	0	0	0	0	0	0	0	7831	0	0	0	0	0	0	0	9291	0	0	11949	0	0	0	0	0	0	0	0	18326	0	0	0	6966	0	0	13386	0	0	0	0	0	0	14274	0	0	0	0	0	0	11397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9231	39635	0	0	21503	15676	0	0	0	0	0	0	0	0	0	0	0	0	0	8590	11798	0	8215	9394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13415	0	0	24297	0	0	7567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12803	0	0	8333	8908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8701	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__Alectryocaccomicrobium;s__Alectryocaccomicrobium faecavium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8870	11356	0	0	0	0	0	0	0	0	7831	0	0	0	0	0	0	0	9291	0	0	11949	0	0	0	0	0	0	0	0	18326	0	0	0	6966	0	0	13386	0	0	0	0	0	0	14274	0	0	0	0	0	0	11397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9231	39635	0	0	21503	15676	0	0	0	0	0	0	0	0	0	0	0	0	0	8590	11798	0	8215	9394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13415	0	0	24297	0	0	7567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12803	0	0	8333	8908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8701	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__Aphodomonas	0	0	0	0	0	0	0	0	0	0	6565	0	0	0	0	0	0	0	7806	0	0	0	0	0	0	4300	0	0	0	0	0	0	0	0	0	0	12923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__Aphodomonas;s__Aphodomonas sp004557805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__Aphodomonas;s__Aphodomonas sp934615235	0	0	0	0	0	0	0	0	0	0	6565	0	0	0	0	0	0	0	7806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__Avichristensenella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__Avichristensenella;s__Avichristensenella intestinipullorum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__CAKUFI01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6103	0	0	6536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5561	0	0	0	0	0	0	0	0	0	0	6584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__CAKUFI01;s__CAKUFI01 sp934647305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6103	0	0	6536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5561	0	0	0	0	0	0	0	0	0	0	6584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__Egerieenecus	0	0	0	0	0	0	0	0	0	10013	9278	0	0	10980	0	13656	0	0	0	0	23266	0	5443	0	6341	7442	0	0	0	13976	0	0	0	10331	7757	10408	10550	0	8189	0	0	8224	7430	13757	0	12689	0	0	0	6333	7134	0	13103	2909	0	0	0	0	0	11057	6683	5665	0	0	0	0	7682	5328	0	0	0	0	0	0	0	0	0	0	0	12267	0	0	0	35264	0	0	27581	0	8691	0	0	0	0	0	0	7220	0	0	10026	0	0	0	22407	14060	8336	0	0	0	0	5307	0	6697	0	6613	0	0	0	0	0	5817	8401	0	0	24193	0	0	7224	0	0	0	8197	6498	0	0	0	4889	9203	8281	0	0	0	0	7026	0	7709	0	0	0	13459	8162	0	5960	0	0	0	0	0	0	7488	0	0	0	0	0	0	0	12589	0	0	0	12096	0	0	0	0	7211
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__Egerieenecus;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__Egerieenecus;s__Egerieenecus merdigallinarum	0	0	0	0	0	0	0	0	0	10013	9278	0	0	10980	0	6009	0	0	0	0	23266	0	0	0	0	7442	0	0	0	9155	0	0	0	10331	0	10408	10550	0	8189	0	0	8224	7430	6902	0	12689	0	0	0	0	7134	0	13103	0	0	0	0	0	0	11057	0	0	0	0	0	0	7682	0	0	0	0	0	0	0	0	0	0	0	0	12267	0	0	0	35264	0	0	27581	0	8691	0	0	0	0	0	0	7220	0	0	10026	0	0	0	22407	14060	8336	0	0	0	0	0	0	6697	0	0	0	0	0	0	0	0	8401	0	0	24193	0	0	7224	0	0	0	8197	6498	0	0	0	0	0	8281	0	0	0	0	7026	0	7709	0	0	0	7097	8162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6639	0	0	0	12096	0	0	0	0	7211
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__Egerieenecus;s__Egerieenecus sp900553315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7647	0	0	0	0	0	0	5443	0	6341	0	0	0	0	4821	0	0	0	0	7757	0	0	0	0	0	0	0	0	6855	0	0	0	0	0	6333	0	0	0	0	0	0	0	0	0	0	6683	5665	0	0	0	0	0	5328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5307	0	0	0	6613	0	0	0	0	0	5817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4889	9203	0	0	0	0	0	0	0	0	0	0	0	6362	0	0	5960	0	0	0	0	0	0	7488	0	0	0	0	0	0	0	5950	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__Excrementavichristensenella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8298	0	0	6649	0	0	0	0	0	0	6452	0	0	0	0	0	0	5701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14443	7081	0	23550	7224	6873	0	0	0	0	0	0	0	0	0	0	0	0	5595	8681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
